© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Workspace	My Projects
Project	hd_microarray
Analysis	Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Date	Mon Jan 20 14:26:17 PST 2020
Analysis ID	18745379

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Human Gene 2.0 ST Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Protein Kinase A Signaling	4E-01		2.61E-03	H1-5	
Molecular Mechanisms of Cancer	4.02E-01		2.63E-03	LRP1	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	4.87E-01		3.36E-03	LRP1	
Neuroinflammation Signaling Pathway	4.98E-01		3.46E-03	GAD2	
Sirtuin Signaling Pathway	5.13E-01		3.61E-03	H1-5	
Colorectal Cancer Metastasis Signaling	5.58E-01		4.08E-03	LRP1	
Sperm Motility	6.12E-01		4.72E-03	DDR2	
Actin Cytoskeleton Signaling	6.18E-01		4.78E-03	TIAM1	
Superpathway of Inositol Phosphate Compounds	6.54E-01		5.26E-03	NUDT11	
NRF2-mediated Oxidative Stress Response	6.64E-01		5.41E-03	HERPUD1	
Wnt/β-catenin Signaling	6.97E-01		5.88E-03	LRP1	
Tight Junction Signaling	7.04E-01		5.99E-03	TIAM1	
Dendritic Cell Maturation	7.06E-01		6.02E-03	DDR2	
3-phosphoinositide Biosynthesis	7.26E-01		6.33E-03	NUDT11	
D-myo-inositol-5-phosphate Metabolism	7.49E-01		6.71E-03	NUDT11	
3-phosphoinositide Degradation	7.52E-01		6.76E-03	NUDT11	
Endocannabinoid Cancer Inhibition Pathway	7.71E-01		7.09E-03	NUPR1	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	7.91E-01		7.46E-03	NUDT11	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	7.91E-01		7.46E-03	NUDT11	
Iron homeostasis signaling pathway	8.06E-01		7.75E-03	LRP1	
IL-15 Production	8.42E-01		8.47E-03	DDR2	
Endocannabinoid Developing Neuron Pathway	8.52E-01		8.70E-03	STMN2	
Rac Signaling	8.74E-01		9.17E-03	TIAM1	
Type I Diabetes Mellitus Signaling	9.01E-01		9.80E-03	GAD2	
GABA Receptor Signaling	9.34E-01		1.06E-02	GAD2	
Factors Promoting Cardiogenesis in Vertebrates	9.52E-01		1.11E-02	LRP1	
Synaptogenesis Signaling Pathway	1.22E00		6.56E-03	LRP1,TIAM1	
Inhibition of Matrix Metalloproteases	1.31E00		2.63E-02	LRP1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.5E00		9.35E-03	DLX5,LRP1	
Granzyme A Signaling	1.66E00		5.88E-02	H1-5	
Glutamate Degradation III (via 4-aminobutyrate)	2.18E00		2.00E-01	GAD2	
Glutamate Dependent Acid Resistance	2.58E00		5.00E-01	GAD2	
Osteoarthritis Pathway	2.64E00		1.49E-02	DDR2,DLX5,LRP1	

Upstream Regulators for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Analysis	ID	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
Auditory Disease, Auditory and Vestibular System Development and Function, Connective Tissue Development and Function, Connective Tissue Disorders, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Development	lack	Lack of superior semicircular canal	6.54E-03	 	 	 	 	DLX5	1	
Cellular Movement	migration	Migration of liver cancer cells	6.54E-03	 	 	 	 	TIAM1	1	
Auditory and Vestibular System Development and Function, Connective Tissue Development and Function, Organ Morphology, Organismal Development, Skeletal and Muscular System Development and Function, Tissue Development	size	Size of horizontal semicircular canal	6.54E-03	 	 	 	 	DLX5	1	
Cell Death and Survival, Hematological System Development and Function	survival	Survival of invariant natural killer T cells	6.54E-03	 	 	 	 	BCL11B	1	
Amino Acid Metabolism, Molecular Transport, Small Molecule Biochemistry	transport	Transport of L-ornithine	6.54E-03	 	 	 	 	SLC7A3	1	
Embryonic Development, Organismal Development, Skeletal and Muscular System Development and Function	morphogenesis	Morphogenesis of embryonic limb	6.57E-03	 	 	 	 	DLX5,DLX6	2	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	adenocarcinoma	Adenocarcinoma in right upper lobe of lung	6.58E-03	 	 	 	 	GAD2,LRP1,LRP1B,DDR2	4	
Auditory and Vestibular System Development and Function, Embryonic Development, Organ Development, Organ Morphology, Organismal Development, Tissue Development	morphogenesis	Morphogenesis of inner ear	6.71E-03	 	 	 	 	DLX5,DLX6	2	
Cell Death and Survival	cell death	Neuronal cell death	6.97E-03	 	-0.241	 	-0.279	BCL11B,NUPR1,GAD2,LRP1,HERPUD1	5	
Digestive System Development and Function, Embryonic Development, Organismal Development	development	Development of palate	6.99E-03	 	 	 	 	DLX5,DLX6	2	
Psychological Disorders	psychological disorder	Severe psychological disorder	7.13E-03	 	 	 	 	STMN2,NUPR1,PDZRN3,GAD2,TIAM1	5	
Connective Tissue Development and Function, Connective Tissue Disorders, Developmental Disorder, Gastrointestinal Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Development	abnormal morphology	Abnormal morphology of mandibular condyle	7.85E-03	 	 	 	 	DLX5	1	
Connective Tissue Development and Function, Connective Tissue Disorders, Developmental Disorder, Gastrointestinal Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Development	abnormal morphology	Abnormal morphology of mandibular coronoid process	7.85E-03	 	 	 	 	DLX5	1	
Cell-To-Cell Signaling and Interaction	adhesion	Adhesion of kidney cancer cell lines	7.85E-03	 	 	 	 	TIAM1	1	
Cancer, Cell Morphology, Cellular Function and Maintenance, Organismal Injury and Abnormalities	autophagy	Autophagy of cancer cells	7.85E-03	 	 	 	 	NUPR1	1	
Behavior	conditioned context aversion	Conditioned context aversion	7.85E-03	 	 	 	 	GAD2	1	
Cardiovascular System Development and Function	contractility	Contractility of aortic ring tissue	7.85E-03	 	 	 	 	LRP1	1	
Cell Morphology, Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	conversion	Conversion of CD4+ T-lymphocytes	7.85E-03	 	 	 	 	BCL11B	1	
Cell Morphology, Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	conversion	Conversion of induced regulatory T-lymphocyte	7.85E-03	 	 	 	 	BCL11B	1	
Cellular Assembly and Organization	induction	Induction of lamellipodia	7.85E-03	 	 	 	 	TIAM1	1	
Cellular Movement	invasion	Invasion of keratinocyte cancer cell lines	7.85E-03	 	 	 	 	TIAM1	1	
Auditory Disease, Auditory and Vestibular System Development and Function, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	lack	Lack of endolymphatic duct	7.85E-03	 	 	 	 	DLX5	1	
Auditory Disease, Auditory and Vestibular System Development and Function, Connective Tissue Development and Function, Connective Tissue Disorders, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Development	lack	Lack of posterior semicircular canal	7.85E-03	 	 	 	 	DLX5	1	
Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	pain	Pain of hindpaw	7.85E-03	 	 	 	 	KCND3	1	
Amino Acid Metabolism, Molecular Transport, Small Molecule Biochemistry	transport	Transport of L-lysine	7.85E-03	 	 	 	 	SLC7A3	1	
Auditory Disease, Auditory and Vestibular System Development and Function, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of malleal processus brevis	9.15E-03	 	 	 	 	DLX5	1	
Dental Disease, Digestive System Development and Function, Gastrointestinal Disease, Organismal Development, Organismal Injury and Abnormalities, Tissue Morphology	abnormal morphology	Abnormal morphology of molar crown	9.15E-03	 	 	 	 	DLX5	1	
Nervous System Development and Function, Neurological Disease	abnormal morphology	Abnormal morphology of olfactory nerve	9.15E-03	 	 	 	 	DLX5	1	
Connective Tissue Development and Function, Connective Tissue Disorders, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Development	abnormal morphology	Abnormal morphology of small parietal bone	9.15E-03	 	 	 	 	DLX5	1	
Cellular Growth and Proliferation, Cellular Movement, Hematological System Development and Function	cytostasis	Cytostasis of leukocyte cell lines	9.15E-03	 	 	 	 	BCL11B	1	
Cellular Function and Maintenance, Molecular Transport, Protein Trafficking	exocytosis	Exocytosis of protein	9.15E-03	 	 	 	 	SCGN	1	
Developmental Disorder, Endocrine System Disorders, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Reproductive System Disease	hypogonadotropic hypogonadism 7	Hypogonadotropic hypogonadism 7	9.15E-03	 	 	 	 	TAC3	1	
Cell Morphology	morphology	Morphology of thyroid tumor cell lines	9.15E-03	 	 	 	 	LRP1	1	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	transport	Transport of cholesterol ester	9.15E-03	 	 	 	 	LRP1	1	
Neurological Disease	neurological disorder	Progressive neurological disorder	9.30E-03	 	 	 	 	NEAT1,GAD2,LRP1,KCND3,LRP1B,DDR2	6	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	lymphocytic leukemia	Lymphocytic leukemia	9.75E-03	 	 	 	 	BCL11B,STMN2,GAD2,LRP1B,DDR2	5	
Cancer, Organismal Injury and Abnormalities	ANO1 positive KIT positive PDGFRA D842 mutation negative gastrointestinal stromal tumor	ANO1 positive KIT positive PDGFRA D842 mutation negative gastrointestinal stromal tumor	1.04E-02	 	 	 	 	DDR2	1	
Cardiovascular Disease, Cardiovascular System Development and Function, Developmental Disorder, Embryonic Development, Organismal Development, Organismal Injury and Abnormalities, Tissue Morphology	abnormal morphology	Abnormal morphology of stapedial artery	1.04E-02	 	 	 	 	DLX5	1	
Connective Tissue Development and Function, Connective Tissue Disorders, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Development	abnormal morphology	Abnormal morphology of vomer bone	1.04E-02	 	 	 	 	DLX5	1	
Cancer, Organismal Injury and Abnormalities	C-KIT exon 11 mutation positive gastrointestinal stromal tumor	Advanced C-KIT exon 11 mutation positive gastrointestinal stromal tumor	1.04E-02	 	 	 	 	DDR2	1	
Hematological Disease, Immunological Disease	FIP1L1-PDGFRα fusion positive hypereosinophilic syndrome	Advanced FIP1L1-PDGFRα fusion positive hypereosinophilic syndrome	1.04E-02	 	 	 	 	DDR2	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	c-KIT (D816V) negative aggressive systemic mastocytosis	C-KIT (D816V) negative aggressive systemic mastocytosis	1.04E-02	 	 	 	 	DDR2	1	
Cell Morphology	cell rounding	Cell rounding of neuroblastoma cell lines	1.04E-02	 	 	 	 	TIAM1	1	
Cancer, Organismal Injury and Abnormalities	gastrointestinal stromal tumor	Completely resected gastrointestinal stromal tumor	1.04E-02	 	 	 	 	DDR2	1	
Cardiovascular System Development and Function, Tissue Morphology	contraction	Contraction of portal vein	1.04E-02	 	 	 	 	TAC3	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	FIP1L1-PDGFRα fusion kinase negative chronic eosinophilic leukemia	FIP1L1-PDGFRα fusion kinase negative chronic eosinophilic leukemia	1.04E-02	 	 	 	 	DDR2	1	
Hematological Disease, Immunological Disease	FIP1L1-PDGFRα fusion kinase negative hypereosinophilic syndrome	FIP1L1-PDGFRα fusion kinase negative hypereosinophilic syndrome	1.04E-02	 	 	 	 	DDR2	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	FIP1L1-PDGFRα fusion kinase positive chronic eosinophilic leukemia	FIP1L1-PDGFRα fusion kinase positive chronic eosinophilic leukemia	1.04E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities	c-KIT exon 9 mutation positive gastrointestinal stromal tumor	Inoperable c-KIT exon 9 mutation positive gastrointestinal stromal tumor	1.04E-02	 	 	 	 	DDR2	1	
Cancer, Dermatological Diseases and Conditions, Organismal Injury and Abnormalities	dermatofibrosarcoma protuberans	Inoperable dermatofibrosarcoma protuberans	1.04E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities	KIT mutation positive PDGFRA D842X mutation negative gastrointestinal stromal tumor	KIT mutation positive PDGFRA D842X mutation negative gastrointestinal stromal tumor	1.04E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities	gastrointestinal stromal tumor	Localized gastrointestinal stromal tumor	1.04E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities	c-KIT exon 9 mutation positive gastrointestinal stromal tumor	Locally advanced c-KIT exon 9 mutation positive gastrointestinal stromal tumor	1.04E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities	c-KIT positive gastrointestinal stromal tumor	Malignant metastatic unresectable c-KIT positive gastrointestinal stromal tumor	1.04E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities	C-KIT exon 11 mutation positive gastrointestinal stromal tumor	Metastatic C-KIT exon 11 mutation positive gastrointestinal stromal tumor	1.04E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities	KIT activating mutation positive melanoma	Metastatic KIT activating mutation positive melanoma	1.04E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities	c-KIT exon 11 mutation positive melanoma	Metastatic c-KIT exon 11 mutation positive melanoma	1.04E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities	c-KIT exon 13 mutation positive melanoma	Metastatic c-KIT exon 13 mutation positive melanoma	1.04E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities	c-KIT exon 9 mutation positive gastrointestinal stromal tumor	Metastatic c-KIT exon 9 mutation positive gastrointestinal stromal tumor	1.04E-02	 	 	 	 	DDR2	1	
Cancer, Dermatological Diseases and Conditions, Organismal Injury and Abnormalities	recurrent dermatofibrosarcoma protuberans	Metastatic recurrent dermatofibrosarcoma protuberans	1.04E-02	 	 	 	 	DDR2	1	
Neurological Disease	neurodegeneration	Neurodegeneration of sciatic nerve	1.04E-02	 	 	 	 	LRP1	1	
Cancer, Organismal Injury and Abnormalities	c-KIT mutation positive gastrointestinal stromal tumor	Nonmetastatic c-KIT mutation positive gastrointestinal stromal tumor	1.04E-02	 	 	 	 	DDR2	1	
Cancer, Hematological Disease, Organismal Injury and Abnormalities	PDGFR rearrangement positive myelodysplastic myeloproliferative disease	PDGFR rearrangement positive myelodysplastic myeloproliferative disease	1.04E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities	PDGFRA mutation positive PDGFRA D842 mutation negative gastrointestinal stromal tumor	PDGFRA mutation positive PDGFRA D842 mutation negative gastrointestinal stromal tumor	1.04E-02	 	 	 	 	DDR2	1	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	rectal adenoma	Rectal adenoma	1.04E-02	 	 	 	 	KCND3	1	
Cancer, Dermatological Diseases and Conditions, Organismal Injury and Abnormalities	metastatic dermatofibrosarcoma protuberans	Recurrent metastatic dermatofibrosarcoma protuberans	1.04E-02	 	 	 	 	DDR2	1	
Embryonic Development, Organismal Development, Tissue Morphology	size	Size of tympanic ring	1.04E-02	 	 	 	 	DLX5	1	
Cardiovascular System Development and Function, Cell Death and Survival, Skeletal and Muscular System Development and Function	survival	Survival of ventricular myocytes	1.04E-02	 	 	 	 	LRP1	1	
Cancer, Organismal Injury and Abnormalities	KIT activating mutation positive melanoma	Unresectable KIT activating mutation positive melanoma	1.04E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities	c-KIT exon 11 mutation positive melanoma	Unresectable c-KIT exon 11 mutation positive melanoma	1.04E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities	c-KIT exon 13 mutation positive melanoma	Unresectable c-KIT exon 13 mutation positive melanoma	1.04E-02	 	 	 	 	DDR2	1	
Cancer, Dermatological Diseases and Conditions, Organismal Injury and Abnormalities	recurrent dermatofibrosarcoma protuberans	Unresectable recurrent dermatofibrosarcoma protuberans	1.04E-02	 	 	 	 	DDR2	1	
Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Tissue Development	development	Development of connective tissue cells	1.11E-02	 	 	 	 	DLX5,BCL11B,TIAM1	3	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	metastatic colorectal cancer	Metastatic colorectal cancer	1.14E-02	 	 	 	 	STMN2,PDZRN3,DDR2	3	
Cell Morphology, Dental Disease, Digestive System Development and Function, Gastrointestinal Disease, Organismal Development, Organismal Injury and Abnormalities, Tissue Morphology	abnormal morphology	Abnormal morphology of ameloblasts	1.17E-02	 	 	 	 	BCL11B	1	
Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Respiratory Disease, Respiratory System Development and Function	abnormal morphology	Abnormal morphology of nasal septum	1.17E-02	 	 	 	 	DLX5	1	
Connective Tissue Development and Function, Connective Tissue Disorders, Developmental Disorder, Gastrointestinal Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Development	abnormal morphology	Abnormal morphology of premaxilla	1.17E-02	 	 	 	 	DLX5	1	
Neurological Disease, Psychological Disorders	amnesia	Amnesia	1.17E-02	 	 	 	 	TAC3	1	
Nervous System Development and Function	ensheathment	Ensheathment of axons	1.17E-02	 	 	 	 	LRP1	1	
Cellular Assembly and Organization, Nervous System Development and Function	formation	Formation of neurite branches	1.17E-02	 	 	 	 	TIAM1	1	
Cell Signaling, Molecular Transport, Nucleic Acid Metabolism, Small Molecule Biochemistry	guanine nucleotide exchange	Guanine nucleotide exchange of GTP	1.17E-02	 	 	 	 	STMN2	1	
Connective Tissue Development and Function, Organismal Development, Skeletal and Muscular System Development and Function, Tissue Development	height	Height of cranium	1.17E-02	 	 	 	 	DDR2	1	
Organismal Injury and Abnormalities, Renal and Urological Disease	nephrosis	Idiopathic nephrosis	1.17E-02	 	 	 	 	GAD2	1	
Cancer, Organismal Injury and Abnormalities	primary gastrointestinal stromal tumor	Primary gastrointestinal stromal tumor	1.17E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities	recurrent gastrointestinal stromal tumor	Recurrent gastrointestinal stromal tumor	1.17E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities	c-KIT positive gastrointestinal stromal tumor	Relapsed c-KIT positive gastrointestinal stromal tumor	1.17E-02	 	 	 	 	DDR2	1	
Cell Morphology, Digestive System Development and Function, Hepatic System Development and Function, Organ Morphology, Organismal Development, Tissue Morphology	size	Size of hepatocytes	1.17E-02	 	 	 	 	LRP1	1	
Cancer, Connective Tissue Disorders, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	tenosynovial giant cell tumor	Symptomatic stage tenosynovial giant cell tumor	1.17E-02	 	 	 	 	DDR2	1	
Cellular Growth and Proliferation, Tissue Development	proliferation	Proliferation of epithelial cells	1.21E-02	 	 	 	 	DLX5,BCL11B,DLX6,NUPR1	4	
Digestive System Development and Function	development	Development of gastrointestinal tract	1.24E-02	 	 	 	 	DLX5,BCL11B,DLX6	3	
Cell-To-Cell Signaling and Interaction	adhesion	Adhesion of epithelial cells	1.25E-02	 	 	 	 	TIAM1,LRP1	2	
Developmental Disorder, Embryonic Development, Organismal Development, Tissue Morphology	abnormal morphology	Abnormal morphology of nasal capsule	1.30E-02	 	 	 	 	DLX5	1	
Cardiovascular System Development and Function, Cell Morphology, Cell-To-Cell Signaling and Interaction, Cellular Assembly and Organization, Tissue Morphology	electrical resistance	Electrical resistance of microvascular endothelial cells	1.30E-02	 	 	 	 	TIAM1	1	
Connective Tissue Development and Function, Embryonic Development, Organ Development, Organismal Development, Skeletal and Muscular System Development and Function, Tissue Development	formation	Formation of calvaria	1.30E-02	 	 	 	 	DLX5	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities	Niemann-Pick disease type C	Niemann-Pick disease type C	1.30E-02	 	 	 	 	LRP1	1	
Cellular Assembly and Organization	sealing	Sealing of plasma membrane	1.30E-02	 	 	 	 	TIAM1	1	
Cancer, Organismal Injury and Abnormalities, Tumor Morphology	transformation	Transformation of tumor	1.30E-02	 	 	 	 	TIAM1	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	chronic leukemia	Chronic leukemia	1.31E-02	 	 	 	 	STMN2,GAD2,LRP1B,DDR2	4	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	B-cell neoplasm	B-cell neoplasm	1.38E-02	 	 	 	 	STMN2,BCL11B,PDZRN3,GAD2,TIAM1,LRP1B,DDR2	7	
Cell Death and Survival	cell death	Cell death of neuronal hybrid cells	1.43E-02	 	 	 	 	HERPUD1	1	
Cell Morphology, Cellular Movement, Hair and Skin Development and Function	cell spreading	Cell spreading of keratinocytes	1.43E-02	 	 	 	 	TIAM1	1	
Developmental Disorder, Endocrine System Disorders, Nutritional Disease, Organismal Injury and Abnormalities, Reproductive System Disease	delayed puberty	Delayed puberty	1.43E-02	 	 	 	 	TAC3	1	
Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	development	Development of Single positive thymocytes	1.43E-02	 	 	 	 	BCL11B	1	
Amino Acid Metabolism, Lipid Metabolism, Small Molecule Biochemistry	synthesis	Synthesis of GABA	1.43E-02	 	 	 	 	GAD2	1	
Cell Morphology, Nervous System Development and Function, Neurological Disease, Tissue Morphology	abnormal morphology	Abnormal morphology of GABAergic neurons	1.56E-02	 	 	 	 	DLX5	1	
Auditory Disease, Auditory and Vestibular System Development and Function, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of external acoustic meatus	1.56E-02	 	 	 	 	DLX5	1	
Connective Tissue Development and Function, Connective Tissue Disorders, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Development	abnormal morphology	Abnormal morphology of pterygoid bone	1.56E-02	 	 	 	 	DLX5	1	
Connective Tissue Development and Function, Connective Tissue Disorders, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Development	abnormal morphology	Abnormal morphology of squamosal bone	1.56E-02	 	 	 	 	DLX5	1	
Cancer, Endocrine System Disorders, Gastrointestinal Disease, Organismal Injury and Abnormalities	angiogenesis	Angiogenesis of pancreatic tumor	1.56E-02	 	 	 	 	LRP1	1	
Cellular Assembly and Organization, Neurological Disease, Organismal Development, Tissue Development	formation	Formation of amyloid-beta plaques	1.56E-02	 	 	 	 	STMN2	1	
Cell Morphology	plasticity	Plasticity of cells	1.56E-02	 	 	 	 	GAD2	1	
Nervous System Development and Function	protection	Protection of cortical neurons	1.56E-02	 	 	 	 	LRP1B	1	
Cellular Assembly and Organization, Cellular Function and Maintenance	quantity	Quantity of plasma membrane projections	1.56E-02	 	 	 	 	LRP1	1	
Cell Morphology, Cellular Assembly and Organization, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Nervous System Development and Function, Organismal Development, Tissue Development	remyelination	Remyelination of axons	1.56E-02	 	 	 	 	LRP1	1	
Cancer, Organismal Injury and Abnormalities	gastrointestinal stromal tumor	Systemic gastrointestinal stromal tumor	1.56E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities	connective or soft tissue tumor	Connective or soft tissue tumor	1.60E-02	 	 	 	 	SLC7A3,PDZRN3,TIAM1,LRP1,NUDT11,LRP1B,DDR2	7	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	Burkitt lymphoma	Burkitt lymphoma	1.62E-02	 	 	 	 	BCL11B,LRP1B	2	
Connective Tissue Development and Function, Connective Tissue Disorders, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Development	abnormal morphology	Abnormal morphology of cranium	1.66E-02	 	 	 	 	DLX5,DDR2	2	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hair and Skin Development and Function, Organ Development, Organismal Development, Tissue Development	formation	Formation of keratinocytes	1.69E-02	 	 	 	 	BCL11B	1	
Cell Morphology, Hematological System Development and Function	polarization	Polarization of leukocyte cell lines	1.69E-02	 	 	 	 	TIAM1	1	
Cell Morphology, Nervous System Development and Function, Tissue Morphology	size	Size of growth cone	1.69E-02	 	 	 	 	TIAM1	1	
Cellular Development, Cellular Growth and Proliferation, Nervous System Development and Function, Tissue Development	development	Development of neurons	1.81E-02	 	 	 	 	DLX5,BCL11B,PDZRN3,TIAM1,LRP1	5	
Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Respiratory Disease, Respiratory System Development and Function, Tissue Morphology	abnormal morphology	Abnormal morphology of olfactory epithelium	1.82E-02	 	 	 	 	DLX5	1	
Cellular Function and Maintenance	ingestion	Ingestion of cells	1.82E-02	 	 	 	 	LRP1	1	
Cellular Movement	invasion	Invasion of skin cancer cell lines	1.82E-02	 	 	 	 	TIAM1	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	B-cell leukemia	B-cell leukemia	1.87E-02	 	 	 	 	BCL11B,LRP1B,DDR2	3	
Cancer, Organismal Injury and Abnormalities	sarcoma	Sarcoma	1.91E-02	 	 	 	 	PDZRN3,TIAM1,LRP1,NUDT11,LRP1B,DDR2	6	
Nervous System Development and Function, Neurological Disease	abnormal morphology	Abnormal morphology of small trigeminal ganglion	1.95E-02	 	 	 	 	DLX5	1	
Cell Death and Survival	apoptosis	Apoptosis of retinal ganglion cells	1.95E-02	 	 	 	 	LRP1	1	
Cell-To-Cell Signaling and Interaction, Hepatic System Development and Function	binding	Binding of hepatocytes	1.95E-02	 	 	 	 	LRP1	1	
